loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,flag_income_missing,flag_income_nonpositive,flag_loan_amount_missing,flag_loan_amount_nonpositive,flag_loan_term_missing,flag_loan_term_nonpositive,flag_cibil_missing,flag_cibil_out_of_range,log_income_annum,log_loan_amount,loan_to_income_ratio,total_asset_value,loan_to_total_assets_ratio,cibil_x_affordability,education_audit_group,self_employed_audit_group
1,2,Graduate,No,9600000,29900000,12,778,2400000,17600000.0,22700000.0,8000000,0,0,0,0,0,0,0,0,0,16.077273760604726,17.21336907180573,3.1145833333333335,50700000.0,0.5897435897435898,189.08354430379745,1,0
2,0,Not Graduate,Yes,4100000,12200000,8,417,2700000,2200000.0,8800000.0,3300000,1,0,0,0,0,0,0,0,0,15.226497775576945,16.316946591670696,2.975609756097561,17000000.0,0.7176470588235294,104.88957055214723,0,1
3,3,Graduate,No,9100000,29700000,20,506,7100000,4500000.0,33300000.0,12800000,1,0,0,0,0,0,0,0,0,16.02378508137718,17.206657637442962,3.2637362637362637,57700000.0,0.5147313691507799,118.67525773195877,1,0
4,3,Graduate,No,8200000,30700000,8,467,18200000,3300000.0,23300000.0,7900000,1,0,0,0,0,0,0,0,0,15.919644834185693,17.239773245130714,3.7439024390243905,52700000.0,0.5825426944971537,98.44215938303341,1,0
5,5,Not Graduate,Yes,9800000,24200000,20,382,12400000,8200000.0,29400000.0,5000000,1,0,0,0,0,0,0,0,0,16.097893045681612,17.001863232449228,2.4693877551020407,55000000.0,0.44,110.1058823529412,0,1
6,0,Graduate,Yes,4800000,13500000,10,319,6800000,8300000.0,13700000.0,5100000,1,0,0,0,0,0,0,0,0,15.38412668421143,16.41820031748273,2.8125,33900000.0,0.39823008849557523,83.672131147541,1,1
7,5,Graduate,No,8700000,33000000,4,678,22500000,14800000.0,29200000.0,4300000,0,0,0,0,0,0,0,0,0,15.978833698567334,17.312018149733785,3.793103448275862,70800000.0,0.4661016949152542,141.45323741007195,1,0
8,2,Graduate,Yes,5700000,15000000,20,382,13200000,5700000.0,11800000.0,6000000,1,0,0,0,0,0,0,0,0,15.555976908243359,16.52356082573315,2.6315789473684212,36700000.0,0.4087193460490463,105.18840579710145,1,1
9,0,Graduate,Yes,800000,2200000,20,782,1300000,800000.0,2800000.0,600000,0,0,0,0,0,0,0,0,0,13.592368256649284,14.603968372873895,2.75,5500000.0,0.4,208.53333333333333,1,1
10,5,Not Graduate,No,1100000,4300000,10,388,3200000,1400000.0,3300000.0,1600000,1,0,0,0,0,0,0,0,0,13.910821646859095,15.274125813221904,3.909090909090909,9500000.0,0.45263157894736844,79.03703703703704,0,0
11,4,Graduate,Yes,2900000,11200000,2,547,8100000,4700000.0,9500000.0,3100000,0,0,0,0,0,0,0,0,0,14.88022163978423,16.231424425551033,3.8620689655172415,25400000.0,0.4409448818897638,112.50354609929076,1,1
12,2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000.0,20400000.0,6400000,1,0,0,0,0,0,0,0,0,15.717618233614914,16.937875526504495,3.388059701492537,47900000.0,0.47390396659707723,122.60544217687075,0,1
13,3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000.0,14600000.0,4300000,1,0,0,0,0,0,0,0,0,15.424948670398354,16.266515742283485,2.32,34900000.0,0.332378223495702,93.67469879518073,0,1
